"STCOFIPS","STFIPS","COFIPS","GEO","ITEM","DATA"
"55099","55","099","Wisconsin\Price","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",60
"55101","55","101","Wisconsin\Racine","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",32
"55103","55","103","Wisconsin\Richland","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",159
"55105","55","105","Wisconsin\Rock","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",103
"55107","55","107","Wisconsin\Rusk","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",157
"55109","55","109","Wisconsin\St. Croix","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",167
"55111","55","111","Wisconsin\Sauk","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",233
"55113","55","113","Wisconsin\Sawyer","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",18
"55115","55","115","Wisconsin\Shawano","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",341
"55117","55","117","Wisconsin\Sheboygan","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",167
"55119","55","119","Wisconsin\Taylor","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",256
"55121","55","121","Wisconsin\Trempealeau","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",195
"55123","55","123","Wisconsin\Vernon","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",482
"55125","55","125","Wisconsin\Vilas","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)","-"
"55127","55","127","Wisconsin\Walworth","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",84
"55129","55","129","Wisconsin\Washburn","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",32
"55131","55","131","Wisconsin\Washington","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",105
"55133","55","133","Wisconsin\Waukesha","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",32
"55135","55","135","Wisconsin\Waupaca","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",199
"55137","55","137","Wisconsin\Waushara","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",52
"55139","55","139","Wisconsin\Winnebago","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",95
"55141","55","141","Wisconsin\Wood","Inventory \ Cattle and calves \ Cows and heifers that calved \ Milk cows (farms, 2012)",249
